Car Name,Location,Model,Mileage (km),Fuel (Diesel/Petrol/Hybrid),Engine Cacity,Price (lac),Manual,Automatic
Suzuki Mehran  2018   II ,Lahore,2018,53000,1,796,9.65,1,0
Suzuki Khyber  1993  ,Islamabad,1993,55555,1,1000,1.85,1,0
Toyota Vitz  2009 F 1.0 ,D.G.Khan,2009,123456,1,1000,17.35,0,1
Suzuki Alto  2019 R AGS ,Karachi,2019,47000,1,660,20.8,0,1
Suzuki FX  1983  ,Lahore,1983,45388,1,800,1.99,1,0
Suzuki Mehran  2015   II ,Jacobabad,2015,84786,1,796,6.75,1,0
KIA Sportage  2021  ,Karachi,2021,26000,1,2000,62,0,1
Toyota Corolla  2020 Altis 1 1.6 ,Islamabad,2020,22300,1,1600,44.25,0,1
Honda Civic  2003  Oriel  1.6 ,Wah cantt,2003,225000,1,1600,14.8,1,0
Toyota Fortuner  2018 2.8  4 ,Lahore,2018,75000,0,2800,95,0,1
Mercedes Benz C   2011 C180 ,Okara,2011,47000,1,1800,45,0,1
Mitsubishi Lancer  2005 GLX 1 1.6 ,Faisalabad,2005,105000,1,1600,17,0,1
FAW V2  2017  ,Bahawalpur,2017,71000,1,1300,13.5,1,0
Suzuki Cultus  2016  II ,Lahore,2016,50000,1,1000,13.9,1,0
Suzuki Alto  2022 R ,D.G.Khan,2022,7000,1,660,20.65,1,0
Toyota Yaris  2021  X  1.5 ,Rawalpindi,2021,11000,1,1500,41.5,0,1
KIA Sportage  2022  ,Islamabad,2022,3000,1,2000,75,0,1
Toyota Prius  2010  ,Islamabad,2010,195000,2,1800,35.5,0,1
Suzuki Alto  2022 R ,Rawalpindi,2022,2000,1,660,21,1,0
Toyota Corolla  2019 Altis Grande -i 1.8 ,Islamabad,2019,55000,1,1800,44.5,0,1
Suzuki Alto  2012 R (CNG) ,Islamabad,2012,130704,1,1000,11,1,0
Honda BR-V  2018 i- S ,Faisalabad,2018,96000,1,1500,35,0,1
Honda Civic  2017 Oriel 1.8 i-  ,Lahore,2017,75956,1,1800,42,0,1
Changan Oshan X7  2022  ,Islamabad,2022,20000,1,1500,77,0,1
Toyota Aqua  2017 S ,Islamabad,2017,76000,2,1500,44.39,0,1
Honda City  2019 1.3 i- ,Islamabad,2019,56202,1,1300,30.5,1,0
Mitsubishi Ek Wagon  2018 E ,Karachi,2018,8235,1,660,26,0,1
Mitsubishi Lancer  2005 GLX 1 1.6 ,Faisalabad,2005,105000,1,1600,17,0,1
FAW V2  2017  ,Bahawalpur,2017,71000,1,1300,13.5,1,0
Suzuki Cultus  2016  II ,Lahore,2016,50000,1,1000,13.9,1,0
Toyota Surf  1992 SSR-G 3.0D ,Islamabad,1992,210000,0,2400,21,0,1
Toyota Corolla  2017 Altis 1 1.6 ,Rawalpindi,2017,90000,1,1600,31,0,1
Suzuki Alto  2022 R ,D.G.Khan,2022,7000,1,660,20.65,1,0
Toyota Yaris  2021  X  1.5 ,Rawalpindi,2021,11000,1,1500,41.5,0,1
KIA Sportage  2022  ,Islamabad,2022,3000,1,2000,75,0,1
Honda Civic  2022 1.5 RS Turbo ,Lahore,2022,3170,1,1500,82,0,1
Toyota Prius  2010  ,Islamabad,2010,195000,2,1800,35.5,0,1
Honda Civic  2017 Oriel 1.8 i-  ,Lahore,2017,81000,1,1800,37.7,0,1
Suzuki Alto  2022 R ,Rawalpindi,2022,2000,1,660,21,1,0
Toyota Corolla  2019 Altis Grande -i 1.8 ,Islamabad,2019,55000,1,1800,44.5,0,1
Suzuki Mehran  2014 R  II ,Karachi,2014,97000,1,796,8.5,1,0
Suzuki Cultus  2018 R ,Gujranwala,2018,54000,1,1000,19.7,1,0
Mitsubishi Lancer  2005 GLX 1.3 ,Sargodha,2005,151000,1,1300,11.45,1,0
Suzuki Margalla  1994 GL Plus ,Gojra,1994,150000,1,1300,7.5,1,0
Toyota Surf  1994 SSR-G 2.7 ,D.G.Khan,1994,268000,0,2700,12,1,0
Honda Vezel  2014 2 X Honda  ,Lahore,2014,116000,1,1500,37.95,1,0
Suzuki Swift  2017 DLX 1.3 ,Islamabad,2017,61022,1,1300,20.95,1,0
Honda City   2013 Aspire 1.5 i- ,Islamabad,2013,160000,1,1500,21,0,1
Daihatsu Mira  2018 G Smart Drive  ,Islamabad,2018,55000,1,660,30.85,1,0
Honda Fit  2015 1.5 2 S  ,Karachi,2015,96000,2,1500,27.95,1,0
Honda City  2021 1.2L  ,Faisalabad,2021,21000,1,1200,35.95,0,1
Suzuki Cultus  2010 Ri ,Karachi,2010,97915,1,1000,8.5,0,1
Suzuki Cultus  2014  II ,Islamabad,2014,28908,1,1000,13,0,1
Honda Civic  2016 Turbo 1.5   ,Islamabad,2016,81717,1,1500,38.5,1,0
Honda BR-V  2018 i- MT ,Islamabad,2018,28990,1,1500,38,1,0
Audi A8  (D4)  2013 L 2 ,Islamabad,2013,98474,2,2000,2,0,1
Honda City   2017 Aspire 1.3 i- ,Islamabad,2017,99408,1,1300,29.5,1,0
Honda Vezel  2016 2 RS Honda   ,Islamabad,2016,89213,2,1500,55.5,0,1
Honda Civic  2004 EXi  ,Islamabad,2004,310656,1,1500,14.5,1,0
Honda Fit  2013 1.5 2 S  ,Islamabad,2013,91873,2,1500,27.5,0,1
Toyota Corolla  2015 Altis Grande -i 1.8 ,Rawalpindi,2015,59342,1,1800,31.8,0,1
Toyota Vitz  2011 F 1.0 ,Islamabad,2011,155589,1,1000,21.1,0,1
Toyota Corolla  2014 GLi 1.3 V  ,Lahore,2014,110000,1,1300,24.9,0,1
Toyota Duet  2007 S ,Peshawar,2007,50000,1,1000,8.2,0,1
KIA Picanto  2021 1.0 AT ,Lahore,2021,18000,1,1000,26.9,1,0
Honda City   2010 1.3 i- ,Islamabad,2010,228850,1,1300,20.2,1,0
Toyota Prius Alpha  2013 S ,Karachi,2013,140000,1,1800,38,0,1
Toyota Aqua  2022 S ,Multan,2022,28000,2,1500,44,1,0
Suzuki Wagon R  2019 2 FZ ,Karachi,2019,30000,2,660,33.2,0,1
Honda Civic  2022 1.5 RS Turbo ,Lahore,2022,5000,1,1500,80.9,0,1
Mercedes Benz D   1990  ,Lahore,1990,150000,1,3000,19.5,0,1
Toyota Prius  2018 PHV (Plug In 2) ,Nowshera cantt,2018,71000,1,1800,69.9,0,1
Suzuki Cultus  2002 L (CNG) ,Lahore,2002,180000,1,1000,6.7,0,1
Suzuki Baleno  2005 JXR ,Muzaffar Gargh,2005,100000,1,1300,7.5,0,1
Suzuki Swift  2018 DLX 1.3 Navigation  ,Rawalpindi,2018,78000,1,1300,21.8,1,0
Toyota Corolla  2001 2.0D Limited ,Lahore,2001,207690,0,2000,12.5,0,1
Honda City  2005 i-DSI Vario ,Karachi,2005,150000,1,1300,11.25,1,0
Toyota sso  2014 X G  ,Karachi,2014,102000,1,1000,20,1,0
Toyota Corolla  2016 GLi 1.3 V ,Dera ismail khan,2016,61000,1,1300,28.5,1,0
Mercedes Benz E   (W211)  2006 E200 ,Rawalpindi,2006,85000,1,1800,39.5,1,0
Toyota Land Cruiser 100  2003  4.2D ,Karachi,2003,121245,0,4200,78,0,1
Suzuki Cultus  2017 R ,Karachi,2017,8000,1,1000,24,0,1
Suzuki Mehran  2006  ,Rawalpindi,2006,100000,1,800,5.4,1,0
Toyota Corolla 9th  2007 XLi ,Karachi,2007,97500,1,1300,14.5,0,1
Suzuki Margalla  1993  ,Lahore,1993,100000,1,1300,3.25,0,1
Toyota Yaris  2021  X  1.5 ,Islamabad,2021,40453,1,1500,38.5,1,0
Toyota Corolla  2019 Altis Grande -i 1.8 ,Rawalpindi,2019,57378,1,1800,49.9,1,0
Toyota Corolla  2015 GLi 1.3 V ,Islamabad,2015,119701,1,1300,25,1,0
Mercedes Benz E   (W211)  2007 E200 ,Islamabad,2007,50137,1,1800,48,1,0
Toyota Fortuner  2022 2.7 V ,Islamabad,2022,14969,1,2700,1.26,0,1
Honda Civic  2022 Oriel 1.8 i-  ,Islamabad,2022,10388,1,1800,55.9,0,1
